,FTcolor,Genus3
1,snow4,Other
2,#0000CD,Arenicellaceae_Arenicella
3,#3f0482,Cyclobacteriaceae_Tunicatimonas
4,#FF69B4,Flavobacteriaceae_Croceitalea
5,#dc375f,Flavobacteriaceae_Dokdonia
6,darkred,Flavobacteriaceae_Maribacter
7,#DC143C,Flavobacteriaceae_NS3a_marine_group
8,#FF7F50,Flavobacteriaceae_Olleya
9,#ba4334,Flavobacteriaceae_Tenacibaculum
10,#e05621,Flavobacteriaceae_Unknown
11,midnightblue,Hyphomonadaceae_Fretibacter
12,darkslategray,Hyphomonadaceae_Litorimonas
13,#4ca578,Pirellulaceae_Blastopirellula
14,#a0b92c,Pseudoalteromonadaceae_Pseudoalteromonas
15,#898b48,Pseudoalteromonadaceae_Psychrosphaera
16,lightskyblue,Rhizobiaceae_Pseudahrensia
17,#5f95cc,Rhizobiaceae_Unknown
18,#ab88d3,Rhodobacteraceae_Litoreibacter
19,#b865af,Rhodobacteraceae_Octadecabacter
20,hotpink4,Rhodobacteraceae_Planktomarina
21,#905ed9,Rhodobacteraceae_Sulfitobacter
22,#5e56ad,Rhodobacteraceae_Unknown
23,#3a8b37,Rubritaleaceae_Luteolibacter
24,#57b946,Rubritaleaceae_Rubritalea
25,#8B4513,Saprospiraceae_Lewinella
26,#c68337,Saprospiraceae_Membranicola
27,#e28e24,Saprospiraceae_Portibacter
28,lightgoldenrod,Saprospiraceae_Unknown
29,#0b7e8d,Sphingomonadaceae_Unknown
30,#3ebab5,Thiohalorhabdaceae_Granulosicoccus
31,#c954b8,Vibrionaceae_Vibrio
